ID;Typ;Artikelnummer;Name;Veröffentlicht;Ist hervorgehoben?;Sichtbarkeit im Katalog;Kurzbeschreibung;Beschreibung;Datum, an dem der Angebotspreis beginnt;Datum, an dem der Angebotspreis endet;Steuerstatus;Steuerklasse;Vorrätig?;Lager;Geringe Lagermenge;Rückstände erlaubt?;Nur einzeln verkaufen?;Gewicht (kg);Länge (cm);Breite (cm);Höhe (cm);Kundenbewertungen erlauben?;Hinweis zum Kauf;Angebotspreis;Regulärer Preis;Kategorien;Schlagwörter;Versandklasse;Bilder;Downloadlimit;Ablauftage des Downloads;Übergeordnetes Produkt;Gruppierte Produkte;Zusatzverkäufe;Cross-Sells (Querverkäufe);Externe URL;Button-Text;Position;Attribut 1 Name;Attribut 1 Wert(e);Attribut 1 Sichtbar;Attribut 1 Global;Attribut 2 Name;Attribut 2 Wert(e);Attribut 2 Sichtbar;Attribut 2 Global;Attribut 3 Name;Attribut 3 Wert(e);Attribut 3 Sichtbar;Attribut 3 Global;Attribut 4 Name;Attribut 4 Wert(e);Attribut 4 Sichtbar;Attribut 4 Global
15296;variable;;Hemd Athen - 72 cm Armlänge;1;0;visible;"<div class=""woocommerce-product-details__short-description"">\n<p>Unser Hemd Athen – da fühlt man sich gleich wie im Süden. Ein etwas leichterer Stoff aus 100% Baumwolle. Am Strand, an der Bar, aber auch im Büro – dieses Hemd weiß zu begeistern. Kleine Details wie der abgesetzte hellblau-weiß karierte Innenteil des Kragens und der Manschetten und die tollen Perlmutt-Knöpfe geben diesem Hemd das gewisse Etwas.</p>\n<p>Perfekt für sehr große Männer - in Überlänge, und mit 72 cm langen Ärmeln.</p>\n</div>\n<p>In den Paßformen <span class=""a-text-bold"">Slim Fit</span> und in <span class=""a-text-bold"">Modern Fit</span> erhältlich.</p>";"<!-- wp:paragraph {""fontSize"":""medium""} -->\n<p class=""has-medium-font-size""></p>\n<!-- /wp:paragraph -->\n\n<!-- wp:columns -->\n<div class=""wp-block-columns""><!-- wp:column {""width"":""33.33%""} -->\n<div class=""wp-block-column"" style=""flex-basis:33.33%""><!-- wp:image {""id"":14708,""sizeSlug"":""full"",""linkDestination"":""media""} -->\n<figure class=""wp-block-image size-full""><a href=""https://www.riesenhemd.com/wp-content/uploads/2022/10/Hemd-Athen-3A.jpg""><img src=""https://www.riesenhemd.com/wp-content/uploads/2022/10/Hemd-Athen-3A.jpg"" alt="""" class=""wp-image-14708""/></a></figure>\n<!-- /wp:image --></div>\n<!-- /wp:column -->\n\n<!-- wp:column {""verticalAlignment"":""top"",""width"":""66.66%""} -->\n<div class=""wp-block-column is-vertically-aligned-top"" style=""flex-basis:66.66%""><!-- wp:heading {""level"":3} -->\n<h3 class=""wp-block-heading"">Das Hemd Athen - ein lässiges weißes Sommerhemd - da fühlt man sich wie im Süden&nbsp;</h3>\n<!-- /wp:heading -->\n\n<!-- wp:paragraph -->\n<p>Unser Hemd Athen ist aus einem sommerlich-leichtem Baumwoll-Stoff.</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p>Das Hemd wirkt sehr lässig und frisch, und ist doch zugleich elegant.&nbsp;</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p>Kleine Details wie der abgesetzte hellblau-weiß karierte Innenteil des Kragens und der Manschetten und die tollen Perlmutt-Knöpfe geben diesem Hemd das gewisse Etwas.</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p>Auf der Strandpromenade, an der Bar, aber auch im Büro und Home Office – dieses Hemd weiß zu begeistern.</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p> </p>\n<!-- /wp:paragraph --></div>\n<!-- /wp:column --></div>\n<!-- /wp:columns -->\n\n<!-- wp:columns -->\n<div class=""wp-block-columns""><!-- wp:column {""width"":""33.33%""} -->\n<div class=""wp-block-column"" style=""flex-basis:33.33%""><!-- wp:image {""id"":14710,""sizeSlug"":""full"",""linkDestination"":""media""} -->\n<figure class=""wp-block-image size-full""><a href=""https://www.riesenhemd.com/wp-content/uploads/2022/10/Hemd-Athen-2A.jpg""><img src=""https://www.riesenhemd.com/wp-content/uploads/2022/10/Hemd-Athen-2A.jpg"" alt="""" class=""wp-image-14710""/></a></figure>\n<!-- /wp:image --></div>\n<!-- /wp:column -->\n\n<!-- wp:column {""verticalAlignment"":""top"",""width"":""66.66%""} -->\n<div class=""wp-block-column is-vertically-aligned-top"" style=""flex-basis:66.66%""><!-- wp:heading {""level"":3} -->\n<h3 class=""wp-block-heading"">Hochwertiger Stoff, sorgfältig verarbeitet, interessante Design-Details&nbsp;</h3>\n<!-- /wp:heading -->\n\n<!-- wp:paragraph -->\n<p>Das Hemd Athen ist hergestellt aus einem etwas leichterem weißen Oxford-Stoff, aus 100% Baumwolle und somit besonders atmungsaktiv.</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p>Im Kragen und in den Manschetten findet sich ein farblich abgesetzter Stoff, was das Hemd noch interessanter macht.</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p>Die Knöpfe sind farblich passend aus Perlmutt, mit leicht hellblauen Knopffäden</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p>Die italienisch inspirierte Kent-Kragenform ist sehr lässig - damit ist man ist mit oder ohne Krawatte immer toll angezogen.</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p>Ohne Brusttasche für einen modernen-eleganten Look.</p>\n<!-- /wp:paragraph --></div>\n<!-- /wp:column --></div>\n<!-- /wp:columns -->\n\n<!-- wp:columns -->\n<div class=""wp-block-columns""><!-- wp:column {""width"":""33.33%""} -->\n<div class=""wp-block-column"" style=""flex-basis:33.33%""><!-- wp:image {""id"":14712,""sizeSlug"":""full"",""linkDestination"":""media""} -->\n<figure class=""wp-block-image size-full""><a href=""https://www.riesenhemd.com/wp-content/uploads/2022/10/Hemd-Athen-4A.jpg""><img src=""https://www.riesenhemd.com/wp-content/uploads/2022/10/Hemd-Athen-4A.jpg"" alt="""" class=""wp-image-14712""/></a></figure>\n<!-- /wp:image --></div>\n<!-- /wp:column -->\n\n<!-- wp:column {""verticalAlignment"":""top"",""width"":""66.66%""} -->\n<div class=""wp-block-column is-vertically-aligned-top"" style=""flex-basis:66.66%""><!-- wp:heading {""level"":3} -->\n<h3 class=""wp-block-heading"">Sie kaufen ein hochwertiges Produkt&nbsp;</h3>\n<!-- /wp:heading -->\n\n<!-- wp:paragraph -->\n<p>Wir achten auf sehr enge Nahtabstände, damit das Hemd lange seine Form behält.</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p>Der Stoff weist eine Stärke von 120 Gramm pro Quadratmeter aus.</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p>Wir nutzen nur hochwertige Naturfaserstoffe, die sorgfältig verarbeitet werden und produzieren in Europa unter Einhaltung aller europäischen Arbeitsstandards.</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:paragraph -->\n<p>Unser Stoff wird nach dem strengen „OEKO-TEX® – STANDARD 100 by OEKO-TEX“-Verfahren auf Schadstoffe überprüft und zertifiziert.</p>\n<!-- /wp:paragraph --></div>\n<!-- /wp:column --></div>\n<!-- /wp:columns -->\n\n<!-- wp:columns -->\n<div class=""wp-block-columns""><!-- wp:column {""width"":""33.33%""} -->\n<div class=""wp-block-column"" style=""flex-basis:33.33%""><!-- wp:image {""id"":14714,""sizeSlug"":""full"",""linkDestination"":""media""} -->\n<figure class=""wp-block-image size-full""><a href=""https://www.riesenhemd.com/wp-content/uploads/2022/10/Hemd-Athen-5A.jpg""><img src=""https://www.riesenhemd.com/wp-content/uploads/2022/10/Hemd-Athen-5A.jpg"" alt="""" class=""wp-image-14714""/></a></figure>\n<!-- /wp:image --></div>\n<!-- /wp:column -->\n\n<!-- wp:column {""verticalAlignment"":""top"",""width"":""66.66%""} -->\n<div class=""wp-block-column is-vertically-aligned-top"" style=""flex-basis:66.66%""><!-- wp:heading {""level"":3} -->\n<h3 class=""wp-block-heading"">Für große Männer entworfen, in Slim Fit und Modern Fit erhältlich&nbsp;</h3>\n<!-- /wp:heading -->\n\n<!-- wp:paragraph -->\n<p>Unser Hemd Athen ist in den Paßformen&nbsp;<strong>Slim Fit</strong>&nbsp;und in&nbsp;<strong>Modern Fit</strong>&nbsp;erhältlich.&nbsp;</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:list -->\n<ul><!-- wp:list-item -->\n<li><strong>Slim Fit</strong>&nbsp;ist stärker tailliert, und liegt eng am Körper - für sehr schlanke große Männer</li>\n<!-- /wp:list-item -->\n\n<!-- wp:list-item -->\n<li><strong>Modern Fit</strong>&nbsp;ist leicht tailliert, hat aber am Bauch etwas mehr Luft - für ""normal-schlanke"" große Männer.</li>\n<!-- /wp:list-item --></ul>\n<!-- /wp:list -->\n\n<!-- wp:paragraph -->\n<p>Beide Paßformen sind speziell für große Männer entworfen: hinten und vorn länger als normal, und mit 72 cm Armlänge. </p>\n<!-- /wp:paragraph --></div>\n<!-- /wp:column --></div>\n<!-- /wp:columns -->\n\n<!-- wp:columns -->\n<div class=""wp-block-columns""><!-- wp:column -->\n<div class=""wp-block-column""><!-- wp:heading {""level"":3} -->\n<h3 class=""wp-block-heading"">Größenübersicht SLIM FIT</h3>\n<!-- /wp:heading -->\n\n<!-- wp:table -->\n<figure class=""wp-block-table""><table><thead><tr><th class=""has-text-align-left"" data-align=""left"">Größe</th><th class=""has-text-align-left"" data-align=""left"">39</th><th class=""has-text-align-left"" data-align=""left"">40</th><th>41</th><th class=""has-text-align-left"" data-align=""left"">42</th><th class=""has-text-align-left"" data-align=""left"">43</th></tr></thead><tbody><tr><td class=""has-text-align-left"" data-align=""left"">Brustumfang</td><td class=""has-text-align-left"" data-align=""left"">108 cm</td><td class=""has-text-align-left"" data-align=""left"">111 cm</td><td>115 cm</td><td class=""has-text-align-left"" data-align=""left"">118 cm</td><td class=""has-text-align-left"" data-align=""left"">121 cm</td></tr><tr><td class=""has-text-align-left"" data-align=""left"">Taillenumfang</td><td class=""has-text-align-left"" data-align=""left"">100 cm</td><td class=""has-text-align-left"" data-align=""left"">103 cm</td><td>107 cm</td><td class=""has-text-align-left"" data-align=""left"">110 cm</td><td class=""has-text-align-left"" data-align=""left"">113 cm</td></tr><tr><td class=""has-text-align-left"" data-align=""left"">Gesamtlänge Hemd (vorn)</td><td class=""has-text-align-left"" data-align=""left"">85 cm</td><td class=""has-text-align-left"" data-align=""left"">85 cm</td><td>85 cm</td><td class=""has-text-align-left"" data-align=""left"">85 cm</td><td class=""has-text-align-left"" data-align=""left"">86 cm</td></tr><tr><td class=""has-text-align-left"" data-align=""left"">Gesamtlänge Hemd (hinten)</td><td class=""has-text-align-left"" data-align=""left"">95 cm</td><td class=""has-text-align-left"" data-align=""left"">95 cm</td><td>95 cm</td><td class=""has-text-align-left"" data-align=""left"">95 cm</td><td class=""has-text-align-left"" data-align=""left"">96 cm</td></tr><tr><td class=""has-text-align-left"" data-align=""left"">Ärmellänge</td><td class=""has-text-align-left"" data-align=""left"">72 cm</td><td class=""has-text-align-left"" data-align=""left"">72 cm</td><td>72 cm</td><td class=""has-text-align-left"" data-align=""left"">72 cm</td><td class=""has-text-align-left"" data-align=""left"">72 cm</td></tr></tbody></table></figure>\n<!-- /wp:table -->\n\n<!-- wp:paragraph -->\n<p><a href=""/de?page_id=1881"">So ermitteln Sie Ihre Maße</a></p>\n<!-- /wp:paragraph --></div>\n<!-- /wp:column -->\n\n<!-- wp:column -->\n<div class=""wp-block-column""><!-- wp:heading {""level"":3} -->\n<h3 class=""wp-block-heading"">Größenübersicht MODERN FIT</h3>\n<!-- /wp:heading -->\n\n<!-- wp:table -->\n<figure class=""wp-block-table""><table><thead><tr><th class=""has-text-align-left"" data-align=""left"">Größe</th><th class=""has-text-align-left"" data-align=""left"">41</th><th class=""has-text-align-left"" data-align=""left"">42</th><th>43</th><th>44</th><th class=""has-text-align-left"" data-align=""left"">45</th><th class=""has-text-align-left"" data-align=""left"">46</th></tr></thead><tbody><tr><td class=""has-text-align-left"" data-align=""left"">Brustumfang</td><td class=""has-text-align-left"" data-align=""left"">122 cm</td><td class=""has-text-align-left"" data-align=""left"">125 cm</td><td>127 cm</td><td>129 cm</td><td class=""has-text-align-left"" data-align=""left"">131 cm</td><td class=""has-text-align-left"" data-align=""left"">133 cm</td></tr><tr><td class=""has-text-align-left"" data-align=""left"">Taillenumfang</td><td class=""has-text-align-left"" data-align=""left"">118 cm</td><td class=""has-text-align-left"" data-align=""left"">121 cm</td><td>123 cm</td><td>125 cm</td><td class=""has-text-align-left"" data-align=""left"">127 cm</td><td class=""has-text-align-left"" data-align=""left"">129 cm</td></tr><tr><td class=""has-text-align-left"" data-align=""left"">Gesamtlänge Hemd (vorn)</td><td class=""has-text-align-left"" data-align=""left"">85 cm</td><td class=""has-text-align-left"" data-align=""left"">85 cm</td><td>86 cm</td><td>86 cm</td><td class=""has-text-align-left"" data-align=""left"">87 cm</td><td class=""has-text-align-left"" data-align=""left"">87 cm</td></tr><tr><td class=""has-text-align-left"" data-align=""left"">Gesamtlänge Hemd (hinten)</td><td class=""has-text-align-left"" data-align=""left"">95 cm</td><td class=""has-text-align-left"" data-align=""left"">95 cm</td><td>96 cm</td><td>96 cm</td><td class=""has-text-align-left"" data-align=""left"">97 cm</td><td class=""has-text-align-left"" data-align=""left"">97 cm</td></tr><tr><td class=""has-text-align-left"" data-align=""left"">Ärmellänge</td><td class=""has-text-align-left"" data-align=""left"">72 cm</td><td class=""has-text-align-left"" data-align=""left"">72 cm</td><td>72 cm</td><td>72 cm</td><td class=""has-text-align-left"" data-align=""left"">72 cm</td><td class=""has-text-align-left"" data-align=""left"">72 cm</td></tr></tbody></table></figure>\n<!-- /wp:table --></div>\n<!-- /wp:column --></div>\n<!-- /wp:columns -->\n\n<!-- wp:embed {""url"":""https://youtu.be/uKcjKk7OE5c"",""type"":""video"",""providerNameSlug"":""youtube"",""responsive"":true,""className"":""wp-embed-aspect-16-9 wp-has-aspect-ratio""} -->\n<figure class=""wp-block-embed is-type-video is-provider-youtube wp-block-embed-youtube wp-embed-aspect-16-9 wp-has-aspect-ratio""><div class=""wp-block-embed__wrapper"">\nhttps://youtu.be/uKcjKk7OE5c\n</div></figure>\n<!-- /wp:embed -->\n\n<!-- wp:columns -->\n<div class=""wp-block-columns""><!-- wp:column {""width"":""33.33%""} -->\n<div class=""wp-block-column"" style=""flex-basis:33.33%""><!-- wp:image {""id"":15067,""sizeSlug"":""large"",""linkDestination"":""media""} -->\n<figure class=""wp-block-image size-large""><a href=""https://www.riesenhemd.com/wp-content/uploads/2022/10/RIESENHEMD-Gruender-2-1-2.jpg""><img src=""https://www.riesenhemd.com/wp-content/uploads/2022/10/RIESENHEMD-Gruender-2-1-2-1024x1024.jpg"" alt="""" class=""wp-image-15067""/></a></figure>\n<!-- /wp:image --></div>\n<!-- /wp:column -->\n\n<!-- wp:column {""verticalAlignment"":""top"",""width"":""66.66%""} -->\n<div class=""wp-block-column is-vertically-aligned-top"" style=""flex-basis:66.66%""><!-- wp:heading {""level"":3} -->\n<h3 class=""wp-block-heading"">RIESENHEMD Hamburg ist ein junges Familienunternehmen, das ausschließlich Hemden für große Männer herstellt</h3>\n<!-- /wp:heading -->\n\n<!-- wp:paragraph -->\n<p>Was zeichnet unsere Hemden aus:&nbsp;</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:list -->\n<ul><!-- wp:list-item -->\n<li>Wir nutzen nur hochwertige Stoffe und achten auf eine sorgfältige Verarbeitung und interessante Design-Details</li>\n<!-- /wp:list-item -->\n\n<!-- wp:list-item -->\n<li>Die Hemden sind ausschließlich entworfen für große Männer über 1,90 Meter - sie sind vorn und hinten länger geschnitten, und mit besonders langen Ärmeln (72 cm) ausgestattet&nbsp;</li>\n<!-- /wp:list-item -->\n\n<!-- wp:list-item -->\n<li>Unsere Hemden werden in Hamburg entworfen und in Spanien aus europäischen Stoffen hergestellt</li>\n<!-- /wp:list-item --></ul>\n<!-- /wp:list -->\n\n<!-- wp:paragraph -->\n<p>Vielen Dank für Ihr Interesse an unseren Hemden - das Team von RIESENHEMD Hamburg</p>\n<!-- /wp:paragraph -->\n\n<!-- wp:buttons -->\n<div class=""wp-block-buttons""><!-- wp:button /--></div>\n<!-- /wp:buttons --></div>\n<!-- /wp:column --></div>\n<!-- /wp:columns -->\n\n<!-- wp:block {""ref"":14492} /-->";;;taxable;;1;;;0;0;;;;;0;;;;Businesshemden, Freizeithemden, Modern Fit Long, Slim Fit Long;Hemd 72 Armlänge, Hemd Armlänge 72 cm, Herren Hemd extra langer Arm 72 cm;;https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Athen-5.jpg, https://www.riesenhemd.com/wp-content/uploads/2021/05/Hemd-extra-langer-Arm-72-cm-Ueberlaenge-RIESENHEMD-Athen-2b.jpg, https://www.riesenhemd.com/wp-content/uploads/2019/06/Hemd-extra-langer-Arm-72-Ueberlaenge-Athen-4.jpg, https://www.riesenhemd.com/wp-content/uploads/2021/05/Hemd-extra-langer-Arm-72-cm-Ueberlaenge-RIESENHEMD-Athen-1b.jpg, https://www.riesenhemd.com/wp-content/uploads/2021/05/Hemd-extra-langer-Arm-72-cm-Ueberlaenge-RIESENHEMD-Athen-3a.jpg;;;;;id:15458, id:15558, id:15708;;;;0;Schnittform;Modern Fit, Slim Fit;1;1;Kragengröße;39, 40, 41, 42, 43, 44;1;1;Farbe;weiß;1;1;Hemdenart;Businesshemd, Freizeithemd;1;1
15299;variation;4260581270902;Hemd Athen - 72 cm Armlänge - Modern Fit, 41;1;0;visible;;;;;taxable;parent;1;100;;0;0;;;;;0;;;75;;;;;;;id:15296;;;;;;3;Schnittform;Modern Fit;;1;Kragengröße;41;;1;;;;;;;;
15300;variation;4260581270919;Hemd Athen - 72 cm Armlänge - Modern Fit, 42;1;0;visible;;;;;taxable;parent;1;100;;0;0;;;;;0;;;75;;;;;;;id:15296;;;;;;4;Schnittform;Modern Fit;;1;Kragengröße;42;;1;;;;;;;;
15301;variation;4260581270926;Hemd Athen - 72 cm Armlänge - Modern Fit, 43;1;0;visible;;;;;taxable;parent;1;100;;0;0;;;;;0;;;75;;;;;;;id:15296;;;;;;5;Schnittform;Modern Fit;;1;Kragengröße;43;;1;;;;;;;;
15302;variation;4260581270933;Hemd Athen - 72 cm Armlänge - Modern Fit, 44;1;0;visible;;;;;taxable;parent;1;100;;0;0;;;;;0;;;75;;;;;;;id:15296;;;;;;6;Schnittform;Modern Fit;;1;Kragengröße;44;;1;;;;;;;;
15305;variation;4260581271701;Hemd Athen - 72 cm Armlänge - Slim Fit, 39;1;0;visible;;;;;taxable;parent;1;100;;0;0;;;;;0;;;75;;;;;;;id:15296;;;;;;9;Schnittform;Slim Fit;;1;Kragengröße;39;;1;;;;;;;;
15306;variation;4260581271718;Hemd Athen - 72 cm Armlänge - Slim Fit, 40;1;0;visible;;;;;taxable;parent;1;100;;0;0;;;;;0;;;75;;;;;;;id:15296;;;;;;10;Schnittform;Slim Fit;;1;Kragengröße;40;;1;;;;;;;;
15307;variation;4260581271725;Hemd Athen - 72 cm Armlänge - Slim Fit, 41;1;0;visible;;;;;taxable;parent;1;100;;0;0;;;;;0;;;75;;;;;;;id:15296;;;;;;11;Schnittform;Slim Fit;;1;Kragengröße;41;;1;;;;;;;;
15308;variation;4260581271732;Hemd Athen - 72 cm Armlänge - Slim Fit, 42;1;0;visible;;;;;taxable;parent;0;100;;0;0;;;;;0;;;75;;;;;;;id:15296;;;;;;12;Schnittform;Slim Fit;;1;Kragengröße;42;;1;;;;;;;;
15309;variation;4260581271749;Hemd Athen - 72 cm Armlänge - Slim Fit, 43;1;0;visible;;;;;taxable;parent;1;100;;0;0;;;;;0;;;75;;;;;;;id:15296;;;;;;13;Schnittform;Slim Fit;;1;Kragengröße;43;;1;;;;;;;;
